,RAIZ,identificador,situação cadastral,data situacao,motivo situacao,data início atividade,cnae principal,logradouro,numero,bairro,cep,uf,municipio
10588,20291225,1,2,20051103,0,19660831,1051100,NOSSA SENHORA DA SAUDE,38,CENTRO,35440000.0,MG,4453
10593,95607909,1,2,20051103,0,19661228,6021700,MAURICIO S SOBRINHO,25,,97020440.0,RS,8841
10629,03853896,1,2,20050930,0,20000606,1011201,QUEIROZ FILHO,1.560,VILA HAMBURGUESA,5319000.0,SP,7107
10632,02236908,1,2,20051103,0,19971023,2944100,"MG 050 KM 18,5 LOTE 13",S/N,D. I. RENATO AZEREDO,35675000.0,MG,2691
10753,02990728,1,8,20111001,2,19990128,2051700,ETENO,5.001,POLO PETROQ CAMACARI,42810000.0,BA,3413
10779,60397775,1,2,20051103,0,19660712,2121101,SP 340,S/N,NUCLEO RESIDENCIAL DOUTOR JOAO ALDO NASSIF,13916072.0,SP,6595
10784,61409892,1,2,20051103,0,19411212,2441501,ENGENHEIRO LUIZ CARLOS BERRINI 105,105,CIDADE MONCOES,4571900.0,SP,7107
10785,43672716,1,2,20050924,0,19800619,1330800,PAPA JOAO PAULO I,1229,VILA AEROPORTO,7170350.0,SP,6477
10817,61381323,1,2,20051103,0,19960717,2949299,PIRAPORINHA,1210,PIRAPORINHA,9950000.0,SP,6377
10833,08146882,1,2,20060628,0,20060628,2710403,DOM LUIS,300,ALDEOTA,60160230.0,CE,1389
11003,08928243,1,2,20070625,0,20070625,6492100,DOUTOR JOAO COLIN,1285,AMERICA,89204001.0,SC,8179
11098,01468951,1,8,20201116,15,20051121,4649406,DOUTOR MOISES KAHAN,70,BARRA FUNDA,1139040.0,SP,7107
11108,09373974,1,2,20080214,0,20080214,6462000,BAHIA,630,CENTRO,15801290.0,SP,6323
12137,08597446,1,8,20130831,2,20070108,6462000,EUSEBIO MATOSO,891,PINHEIROS,5423901.0,SP,7107
12647,15627366,1,2,20120530,0,20120530,4321500,MONSENHOR FELIX,00874,IRAJA,21235110.0,RJ,6001
13042,51990778,1,2,20151214,0,20151214,1931400,PADRE JOAO MANUEL,1212,CERQUEIRA CESAR,1411000.0,SP,7107
13905,92791243,1,2,20051007,0,19681203,1710900,GENERAL JOAO MANOEL,157,CENTRO,90010030.0,RS,8801
13906,03346298,1,2,20050827,0,19990714,1066000,JORGE LACERDA,300,ESPINHEIROS,88317100.0,SC,8161
13907,01704513,1,2,20051103,0,19970305,6511101,BEATRIZ LARRAGOITI LUCAS,121,CIDADE NOVA,20211903.0,RJ,6001
13909,00130107,1,2,20051103,0,19940801,6462000,SAO JOSE,20,CENTRO,20010020.0,RJ,6001
13913,94310208,1,8,20200930,1,19911014,8640202,SENADOR SALGADO FILHO,3.762,VIAMOPOLIS,94470000.0,RS,8963
